1134	1135	1136	1919	1920	1921	2219	2222	239	240	241	2648	302	3464	3670	478	5092	680		
2219	302	3463	3464	3730	5092														
2268	230	302																	
1165	1180	4864																	
1716	4864	9466																	
1176	1709	1710	2940																
1165	1177	2223																	
2223	5091	5565																	
1174	2223	2366	2444	3730															
1174	2223	2270	3463	3730	4920														
1174	1286	2223	2646	3463	3730														
1174	2223	2270	2646	3463	3730														
2035	2223	3730																	
1066	2223	4920																	
1074	2223	2272																	
1922	2223	2305	3463																
1076	3466	4375																	
1071	1076	2443	4375																
1555	2159	2210	9466																
1555	1709	1710	2159	2210															
1961	2159	2160	2268																
2159	2160	2268	236																
2159	2160	3715																	
1555	1710	2159	2160																
1708	1924	2305																	
1708	1709	1710	1711	3957															
1708	1709	3668	3670																
861	865	866	867																
1177	1926	2444																	
1177	2443	2444	680																
1076	1078	2398	240	2444															
1716	2268	2444																	
2366	2444	3500																	
2444	3714	3715																	
2219	240	2444	2648	5092	680														
1174	2036	2400	2937																
1443	15091	3467	862																
1443	15091	2289	862																
1163	15091	862																	
2210	301	862																	
1163	1554	2217	2305	3499															
1987	2305	5311																	
1019	1073	2305	2643	3467															
1961	2305	2799																	
1163	1555	2305	2799																
1073	1921	1922	1923	2305	2443														
2035	2305	4913																	
227	2305	2643	4858																
1163	2189	227	2305																
1027	1924	227	2305																
1555	227	2305	2366	2942															
2937	4876	4877	4878																
230	236	2939																	
1918	1961	3500																	
1918	226	3500																	
2268	236	3500																	
1709	1710	1717	4913																
1991	1999	2220	2257																
1065	1177	227	3463																
1446	1922	1991	3463																
2270	3463	3499																	
1479	2366	3463																	
1710	2643	4858																	
1116	1709	240	3464	3668	695														
1134	239	240	241	242	3464	3730	478	5091	5092										
1075	1174	1921	2272																
107	1071	1286	1988																
1555	1988	2160																	
2218	2219	2220																	
1915	1917	1989	4865																
1918	3957	4865																	
1018	1019	1020	1021	1022															
1246	1247	4533	4860																
1928	1929	2323																	
1020	1021	1246																	
2037	227	238	2942																
1018	1991	2220	238	3365	3467														
1479	1480	1481																	
1180	1917	1961	1989	2268															
1027	2268	230	236																
2210	2268	2271																	
1554	1865	1991	2217	3499															
1554	1962	3464																	
1554	1555	1556	227																
1446	1450	2323																	
1480	1929	2323																	
1718	2323	2799																	
1018	1019	1991	2220	2399	3365	3467	5091												
1018	1019	1076	1481	2397	2399	3467	5091												
1116	1919	1920	2397	2399	3668														
226	227	229	2399																
2272	2399	3668																	
108	1599	2643																	
2643	2942	3467	3473																
1019	1865	2272	2643																
227	232	235	2643																
1483	1555	1571																	
1072	2269	3365	3730																
1075	1134	1135	1136	1569	1571	1921	239	240	241	3464	3730	478							
1991	3730	3731																	
1163	1478	1711	2799																
1075	1116	1286	2222																
1019	1024	1924	2260	3499															
1018	1719	1925	2220	2257	2260	3365	3466	5091											
1018	1719	1925	1997	2220	2260	3365	3466												
1018	1019	1024	1997	2220	2260	2396	3365	3467											
1556	2260	229	2396																
1478	1718	2401	3365																
1078	1711	1922	2396																
1919	1920	1921	1922	1923	1927	2396													
1073	1165	1481	1921	1922	2396	240	2443												
1072	1073	1078	1175	1919	1921	1922	1923	2396	240	2443									
2269	2270	2271	2272																
1065	1066	1712																	
2256	2257	2258																	
1175	2258	227	229	2443															
1074	2035	2258																	
1865	2220	2272	2942																
1018	1024	1446	1991	2220	2257	3466	3467	5091											
1024	1078	1718	1924	2220	2396														
1019	1024	1991	2799	3499															
1019	1024	1924	1962	2037	2257														
1018	1019	1024	1072	1078	1865	2396	2397	2443											
1024	236	3466																	
1024	1442	1991	2037	2220															
1024	1442	1997	2037	2220															
1117	1478	1711																	
1117	1556	1918	227																
1117	1918	227	228	233	4850														
1117	1955	2256	2443																
226	227	228	229	230	231	232													
1177	2271	229																	
1524	1918	1989																	
1018	1019	1076	1481	2257	2396	3467	5091												
1018	1446	1719	2220	2257	3466	3467	5091												
2037	2256	2257	3466	3467															
1924	1925	1927	1997	2220	2942														
1076	1925	229																	
1019	1924	1925	1997	2220	2799														
1018	1077	1165	2037	3467															
1077	1919	1920	1923	2037	2397														
1019	1077	1285	1962	2037	227	2397													
1071	1072	1073	1074	1075	1076	1077	2443												
1077	1924	301																	
1072	1073	1074	1075	1077	1078	1134	1718	239	2397	240	242	3464							
1019	1073	1074	1075	1077	1134	1135	1136	1569	1920	239	2397	240	241	242	2443	3464	478		
1076	1077	1078	1134	1135	1136	1175	2397	240	242	2443	2648	3464	478	680					
1072	1077	1078	1134	1135	1136	1175	1571	239	2397	240	241	242	2443	3464	360	3668	478		
1076	1077	1078	1134	1135	1175	1571	1955	2397	240	242	2443								
1073	1074	1075	1077	1116	1134	1135	1136	1175	1569	1571	1920	1921	239	2397	240	241	3464	478	695
1072	1073	1077	1116	1134	1135	1136	1175	1571	1919	1920	1921	2222	239	2397	240	241	3464	478	
1073	1077	1116	1134	1135	1136	1175	1569	1571	1918	1920	1921	2222	239	2397	240	241	3464	478	
1073	1074	1075	1077	1134	1135	1136	1175	1569	1571	1920	1921	2222	239	2397	240	241	3464	3670	478
1077	1134	1135	1136	1175	1919	1920	1921	239	2397	240	241	2443	2648	3464	360	3668	478		
1077	1718	1719	2220	2799															
1077	1924	1997	2220	2799	2942	3467													
1077	1478	1718	3365																
1065	1066	1072	1073	1076	1077	1078	1175	2443											
1066	1073	1076	1077	1078	1136	1175	1481	1921	2397	2443	3464								
1066	1073	1077	1175	2256	2443														
1019	1073	1077	1078	1134	1135	1136	1481	1569	1918	1921	239	2397	240	3464	478				
1073	1077	1134	1135	1136	1175	1481	1569	1571	1918	1920	1921	239	2397	240	3464	3670	478	695	
1019	1077	1078	1481	1955	227	2397	2443												
1077	1927	2256	2396																
1077	1865	1955	2220	2396	2942	5091													
1018	1077	108	1865	2396	3365	5091													
1077	108	1524	2256	2396															
1018	1077	108	1481	1955	2396	5091													
1018	1077	108	1924	1955	2396	5091													
1077	1078	1134	1135	1136	1175	1569	1571	1917	239	2396	2397	240	2443	3464	478				
1072	1073	1076	1077	1997	2269	2396	2397	3365											
1072	1073	1076	1077	1078	1571	2269	2396	2397											
1019	1072	1073	1077	1078	1962	2396	2397	3464											
1018	1019	1072	1073	1077	1134	2222	239	2396	2397	240	3464	5091							
1072	1073	1075	1077	1078	1718	2396	2397	2942											
1072	1073	1074	1075	1076	1077	1718	2396	2397	3365										
1019	1072	1073	1074	1075	1076	1077	1078	1921	2396	2397	3464	3467	478						
1018	1019	1072	1073	1074	1075	1077	1134	1135	1920	239	2396	2397	240	2443	3464				
1072	1073	1074	1075	1077	1134	1135	1136	1175	1571	1920	1921	239	2396	2397	240	3464	3670	478	695
1072	1073	1074	1075	1077	1134	1175	1865	1921	2396	2397	3670								
1073	1077	1134	1135	1175	1481	1569	1571	1919	1920	1921	1923	2396	2397	240	2443	478			
1073	1076	1077	1078	1134	1135	1136	1175	1481	1569	1571	1919	1921	2396	2397	240	2443	3464	478	
1073	1077	1134	1135	1136	1175	1481	1569	1571	1919	1920	1921	239	2396	2397	240	3464	3670	478	695
1073	1077	1116	1134	1135	1136	1175	1481	1569	1571	1919	1920	1921	2222	239	2396	2397	240	3464	478
1018	1073	1077	1134	1135	1481	1920	1923	2396	2397	240	2443								
1018	1073	1076	1077	1719	1865	2396	2397	3365	5091										
1076	1077	1078	1136	1175	1524	1919	1921	2396	2397	2443	2648	3464							
1019	1075	1076	1077	1078	1285	2396	2397												
1065	1072	1073	1076	1077	1078	1175	1865	229	2396	2443									
1019	1065	1072	1073	1076	1077	1078	2396	3467											
1065	1072	1073	1076	1077	1078	1175	1865	1923	2396	2443									
1072	1076	1077	1078	1718	1924	2269	2396												
1077	1165	2396	2443	360	3731														
1077	1134	1135	1165	1569	1921	2396	240	2443	360	3668	478								
1077	1078	1556	1962	2396															
1018	1019	1072	1073	1077	1991	2396	3365	3467	5091										
1077	1175	1524	2256	2443	2648	680													
1077	1175	1524	1919	1920	1921	1923	2397	2443	2648	680									
1077	1569	1702	1919																
1026	1027	5311																	
1026	1924	3473																	
14739	3466	3467	3473																
1722	3473	4877																	
1019	3466	3473	4878																
1019	1962	3473	4878																
1019	1021	3473	4878																
1018	1165	3466	3467	3731															
1027	1478	1924																	
1134	1135	1136	1175	1483	1569	1571	239	240	2443	3464	478	4913							
1116	1134	1135	1136	1175	1483	1569	1571	1921	239	240	241	3464	360	3668	478	695			
1134	1135	1136	1175	1483	1569	1571	2222	239	240	241	242	3464	360	3668	3670	478			
1483	1484	1485																	
1175	1442	1918	1921																
1065	1175	1442	1923																
1180	1917	1918	227																
1962	2037	3715																	
1065	229	3715																	
1991	2220	2799	3715																
2256	235	2443	680																
232	235	2799																	
1926	227	232	235																
1556	1917	227	229	232	235														
1065	1917	227	229	232	235	4850													
227	228	229	230	231	232	233	235	236	4850										
227	229	232	235	236	2443														
1285	2217	3731																	
1926	1991	2322	3365																
1018	2322	2397	2443																
2035	2322	2397																	
1446	1991	2271																	
1018	1076	1134	1446	1918	2397														
1702	1955	2942	861																
1076	1926	3464																	
1926	1927	2220																	
1987	1991	227																	
1524	2256	2271	680																
1075	2399	3670																	
